,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -6.670828, , 
    -608.6762,     -5.285647, , 
    -570.2442,     -4.154194, , 
    -517.7709,     -2.909644, , 
    -452.5483,     -2.240325, , 
    -376.1826,      -1.88778, , 
    -290.5539,     -1.682949, , 
    -197.7709,     -1.544897, , 
    -100.1181,      -1.47336, , 
-1.033947e-12,     -1.453005, , 
     100.1181,      -1.47336, , 
     197.7709,     -1.544897, , 
     290.5539,     -1.682949, , 
     376.1826,      -1.88778, , 
     452.5483,     -2.240325, , 
     517.7709,     -2.909644, , 
     570.2442,     -4.154194, , 
     608.6762,     -5.285647, , 
     632.1205,     -6.670828, , 

