,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -14.37011, , 
    -608.6762,     -11.07039, , 
    -570.2442,      -9.52544, , 
    -517.7709,     -7.796167, , 
    -452.5483,     -7.762703, , 
    -376.1826,      4.324622, , 
    -290.5539,      -7.83506, , 
    -197.7709,      4.312912, , 
    -100.1181,      -7.50234, , 
-1.033947e-12,      4.351417, , 
     100.1181,      -7.50234, , 
     197.7709,      4.312912, , 
     290.5539,      -7.83506, , 
     376.1826,      4.324622, , 
     452.5483,     -7.762703, , 
     517.7709,     -7.796167, , 
     570.2442,      -9.52544, , 
     608.6762,     -11.07039, , 
     632.1205,     -14.37011, , 

