,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -10.95429, , 
    -608.6762,     -7.974365, , 
    -570.2442,      -6.56965, , 
    -517.7709,     -5.344356, , 
    -452.5483,     -4.284567, , 
    -376.1826,     -3.350836, , 
    -290.5539,     -2.773436, , 
    -197.7709,     -2.350747, , 
    -100.1181,     -2.079412, , 
-1.033947e-12,      -2.01019, , 
     100.1181,     -2.079412, , 
     197.7709,     -2.350747, , 
     290.5539,     -2.773436, , 
     376.1826,     -3.350836, , 
     452.5483,     -4.284567, , 
     517.7709,     -5.344356, , 
     570.2442,      -6.56965, , 
     608.6762,     -7.974365, , 
     632.1205,     -10.95429, , 

