,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -3.504352, , 
    -608.6762,     -2.763127, , 
    -570.2442,     -2.146227, , 
    -517.7709,     -1.683889, , 
    -452.5483,     -1.360341, , 
    -376.1826,     -1.140957, , 
    -290.5539,    -0.9921899, , 
    -197.7709,    -0.8912826, , 
    -100.1181,    -0.8357939, , 
-1.033947e-12,    -0.8180452, , 
     100.1181,    -0.8357939, , 
     197.7709,    -0.8912826, , 
     290.5539,    -0.9921899, , 
     376.1826,     -1.140957, , 
     452.5483,     -1.360341, , 
     517.7709,     -1.683889, , 
     570.2442,     -2.146227, , 
     608.6762,     -2.763127, , 
     632.1205,     -3.504352, , 

