,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -6.278912, , 
    -608.6762,     -4.967746, , 
    -570.2442,     -3.909534, , 
    -517.7709,     -2.979226, , 
    -452.5483,     -2.136192, , 
    -376.1826,     -1.761821, , 
    -290.5539,     -1.524122, , 
    -197.7709,     -1.402558, , 
    -100.1181,     -1.335127, , 
-1.033947e-12,     -1.313189, , 
     100.1181,     -1.335127, , 
     197.7709,     -1.402558, , 
     290.5539,     -1.524122, , 
     376.1826,     -1.761821, , 
     452.5483,     -2.136192, , 
     517.7709,     -2.979226, , 
     570.2442,     -3.909534, , 
     608.6762,     -4.967746, , 
     632.1205,     -6.278912, , 

