,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      -1.54908, , 
    -608.6762,     -1.224993, , 
    -570.2442,    -0.9560476, , 
    -517.7709,    -0.7562482, , 
    -452.5483,    -0.6136141, , 
    -376.1826,    -0.5140113, , 
    -290.5539,    -0.4456303, , 
    -197.7709,    -0.4017764, , 
    -100.1181,    -0.3774077, , 
-1.033947e-12,    -0.3695939, , 
     100.1181,    -0.3774077, , 
     197.7709,    -0.4017764, , 
     290.5539,    -0.4456303, , 
     376.1826,    -0.5140113, , 
     452.5483,    -0.6136141, , 
     517.7709,    -0.7562482, , 
     570.2442,    -0.9560476, , 
     608.6762,     -1.224993, , 
     632.1205,      -1.54908, , 

