,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -7.830989, , 
    -608.6762,     -6.193069, , 
    -570.2442,     -4.333696, , 
    -517.7709,     -3.300815, , 
    -452.5483,     -2.814688, , 
    -376.1826,     -2.509604, , 
    -290.5539,     -2.130496, , 
    -197.7709,     -1.920895, , 
    -100.1181,     -1.822332, , 
-1.033947e-12,     -1.790229, , 
     100.1181,     -1.822332, , 
     197.7709,     -1.920895, , 
     290.5539,     -2.130496, , 
     376.1826,     -2.509604, , 
     452.5483,     -2.814688, , 
     517.7709,     -3.300815, , 
     570.2442,     -4.333696, , 
     608.6762,     -6.193069, , 
     632.1205,     -7.830989, , 

