,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      -8.21634, , 
    -608.6762,     -6.481606, , 
    -570.2442,     -4.435146, , 
    -517.7709,     -3.538005, , 
    -452.5483,     -3.084634, , 
    -376.1826,     -2.556554, , 
    -290.5539,     -2.249249, , 
    -197.7709,     -2.058421, , 
    -100.1181,     -1.935869, , 
-1.033947e-12,     -1.890936, , 
     100.1181,     -1.935869, , 
     197.7709,     -2.058421, , 
     290.5539,     -2.249249, , 
     376.1826,     -2.556554, , 
     452.5483,     -3.084634, , 
     517.7709,     -3.538005, , 
     570.2442,     -4.435146, , 
     608.6762,     -6.481606, , 
     632.1205,      -8.21634, , 

