,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -12.19905, , 
    -608.6762,     -8.990509, , 
    -570.2442,      -7.48883, , 
    -517.7709,     -6.158164, , 
    -452.5483,     -4.784698, , 
    -376.1826,     -3.640252, , 
    -290.5539,     -2.949373, , 
    -197.7709,     -2.585003, , 
    -100.1181,     -4.589202, , 
-1.033947e-12,      5.685777, , 
     100.1181,     -4.589202, , 
     197.7709,     -2.585003, , 
     290.5539,     -2.949373, , 
     376.1826,     -3.640252, , 
     452.5483,     -4.784698, , 
     517.7709,     -6.158164, , 
     570.2442,      -7.48883, , 
     608.6762,     -8.990509, , 
     632.1205,     -12.19905, , 

