,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -11.77335, , 
    -608.6762,     -8.629695, , 
    -570.2442,      -7.16685, , 
    -517.7709,     -5.857388, , 
    -452.5483,     -4.524416, , 
    -376.1826,     -3.600438, , 
    -290.5539,     -2.636942, , 
    -197.7709,     -2.225031, , 
    -100.1181,     -2.034203, , 
-1.033947e-12,     -1.947126, , 
     100.1181,     -2.034203, , 
     197.7709,     -2.225031, , 
     290.5539,     -2.636942, , 
     376.1826,     -3.600438, , 
     452.5483,     -4.524416, , 
     517.7709,     -5.857388, , 
     570.2442,      -7.16685, , 
     608.6762,     -8.629695, , 
     632.1205,     -11.77335, , 

