,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -5.883464, , 
    -608.6762,     -4.651091, , 
    -570.2442,     -3.656857, , 
    -517.7709,     -2.897773, , 
    -452.5483,     -2.113801, , 
    -376.1826,     -1.665273, , 
    -290.5539,     -1.419064, , 
    -197.7709,       -1.2875, , 
    -100.1181,     -1.212337, , 
-1.033947e-12,     -1.188217, , 
     100.1181,     -1.212337, , 
     197.7709,       -1.2875, , 
     290.5539,     -1.419064, , 
     376.1826,     -1.665273, , 
     452.5483,     -2.113801, , 
     517.7709,     -2.897773, , 
     570.2442,     -3.656857, , 
     608.6762,     -4.651091, , 
     632.1205,     -5.883464, , 

