,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      -13.4683, , 
    -608.6762,     -10.18559, , 
    -570.2442,     -8.615383, , 
    -517.7709,     -6.861762, , 
    -452.5483,     -5.593648, , 
    -376.1826,     -3.565952, , 
    -290.5539,     -5.934333, , 
    -197.7709,       4.91944, , 
    -100.1181,      -6.88178, , 
-1.033947e-12,      4.576385, , 
     100.1181,      -6.88178, , 
     197.7709,       4.91944, , 
     290.5539,     -5.934333, , 
     376.1826,     -3.565952, , 
     452.5483,     -5.593648, , 
     517.7709,     -6.861762, , 
     570.2442,     -8.615383, , 
     608.6762,     -10.18559, , 
     632.1205,      -13.4683, , 

