,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -10.15953, , 
    -608.6762,     -7.530149, , 
    -570.2442,     -5.846518, , 
    -517.7709,     -4.813759, , 
    -452.5483,     -3.974362, , 
    -376.1826,     -3.236544, , 
    -290.5539,      -2.64906, , 
    -197.7709,     -2.315103, , 
    -100.1181,     -2.137628, , 
-1.033947e-12,     -2.082483, , 
     100.1181,     -2.137628, , 
     197.7709,     -2.315103, , 
     290.5539,      -2.64906, , 
     376.1826,     -3.236544, , 
     452.5483,     -3.974362, , 
     517.7709,     -4.813759, , 
     570.2442,     -5.846518, , 
     608.6762,     -7.530149, , 
     632.1205,     -10.15953, , 

