,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -9.367618, , 
    -608.6762,     -7.246393, , 
    -570.2442,     -5.169608, , 
    -517.7709,     -4.384516, , 
    -452.5483,     -3.593443, , 
    -376.1826,     -3.009071, , 
    -290.5539,     -2.594268, , 
    -197.7709,     -2.265862, , 
    -100.1181,     -2.074915, , 
-1.033947e-12,     -2.017462, , 
     100.1181,     -2.074915, , 
     197.7709,     -2.265862, , 
     290.5539,     -2.594268, , 
     376.1826,     -3.009071, , 
     452.5483,     -3.593443, , 
     517.7709,     -4.384516, , 
     570.2442,     -5.169608, , 
     608.6762,     -7.246393, , 
     632.1205,     -9.367618, , 

