,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -8.599797, , 
    -608.6762,     -6.760906, , 
    -570.2442,     -4.627966, , 
    -517.7709,      -3.82774, , 
    -452.5483,     -3.230269, , 
    -376.1826,     -2.718327, , 
    -290.5539,     -2.390036, , 
    -197.7709,     -2.138051, , 
    -100.1181,     -2.001459, , 
-1.033947e-12,     -1.955901, , 
     100.1181,     -2.001459, , 
     197.7709,     -2.138051, , 
     290.5539,     -2.390036, , 
     376.1826,     -2.718327, , 
     452.5483,     -3.230269, , 
     517.7709,      -3.82774, , 
     570.2442,     -4.627966, , 
     608.6762,     -6.760906, , 
     632.1205,     -8.599797, , 

