,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -5.082673, , 
    -608.6762,     -4.009056, , 
    -570.2442,     -3.127456, , 
    -517.7709,     -2.473316, , 
    -452.5483,     -2.017644, , 
    -376.1826,     -1.612049, , 
    -290.5539,     -1.324768, , 
    -197.7709,     -1.143671, , 
    -100.1181,     -1.052043, , 
-1.033947e-12,     -1.023528, , 
     100.1181,     -1.052043, , 
     197.7709,     -1.143671, , 
     290.5539,     -1.324768, , 
     376.1826,     -1.612049, , 
     452.5483,     -2.017644, , 
     517.7709,     -2.473316, , 
     570.2442,     -3.127456, , 
     608.6762,     -4.009056, , 
     632.1205,     -5.082673, , 

