,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -3.895329, , 
    -608.6762,     -3.069953, , 
    -570.2442,     -2.379063, , 
    -517.7709,     -1.868861, , 
    -452.5483,     -1.520866, , 
    -376.1826,     -1.263807, , 
    -290.5539,      -1.09129, , 
    -197.7709,    -0.9816316, , 
    -100.1181,     -0.920419, , 
-1.033947e-12,    -0.9008568, , 
     100.1181,     -0.920419, , 
     197.7709,    -0.9816316, , 
     290.5539,      -1.09129, , 
     376.1826,     -1.263807, , 
     452.5483,     -1.520866, , 
     517.7709,     -1.868861, , 
     570.2442,     -2.379063, , 
     608.6762,     -3.069953, , 
     632.1205,     -3.895329, , 

