,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -7.055221, , 
    -608.6762,     -5.590837, , 
    -570.2442,      -4.30856, , 
    -517.7709,     -2.940114, , 
    -452.5483,     -2.374863, , 
    -376.1826,     -2.043117, , 
    -290.5539,     -1.845878, , 
    -197.7709,     -1.717343, , 
    -100.1181,     -1.643014, , 
-1.033947e-12,     -1.618588, , 
     100.1181,     -1.643014, , 
     197.7709,     -1.717343, , 
     290.5539,     -1.845878, , 
     376.1826,     -2.043117, , 
     452.5483,     -2.374863, , 
     517.7709,     -2.940114, , 
     570.2442,      -4.30856, , 
     608.6762,     -5.590837, , 
     632.1205,     -7.055221, , 

