,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -1.938459, , 
    -608.6762,     -1.533389, , 
    -570.2442,     -1.195405, , 
    -517.7709,    -0.9460556, , 
    -452.5483,    -0.7661209, , 
    -376.1826,    -0.6408157, , 
    -290.5539,    -0.5559807, , 
    -197.7709,    -0.5016937, , 
    -100.1181,    -0.4710596, , 
-1.033947e-12,    -0.4612554, , 
     100.1181,    -0.4710596, , 
     197.7709,    -0.5016937, , 
     290.5539,    -0.5559807, , 
     376.1826,    -0.6408157, , 
     452.5483,    -0.7661209, , 
     517.7709,    -0.9460556, , 
     570.2442,     -1.195405, , 
     608.6762,     -1.533389, , 
     632.1205,     -1.938459, , 

