,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      -13.0584, , 
    -608.6762,      -9.80101, , 
    -570.2442,     -8.261256, , 
    -517.7709,     -6.701616, , 
    -452.5483,     -5.446484, , 
    -376.1826,     -4.001534, , 
    -290.5539,     -5.726002, , 
    -197.7709,      4.892744, , 
    -100.1181,     -6.730344, , 
-1.033947e-12,      4.521054, , 
     100.1181,     -6.730344, , 
     197.7709,      4.892744, , 
     290.5539,     -5.726002, , 
     376.1826,     -4.001534, , 
     452.5483,     -5.446484, , 
     517.7709,     -6.701616, , 
     570.2442,     -8.261256, , 
     608.6762,      -9.80101, , 
     632.1205,      -13.0584, , 

