,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -9.761146, , 
    -608.6762,     -7.437903, , 
    -570.2442,     -5.488132, , 
    -517.7709,     -4.559049, , 
    -452.5483,     -3.793932, , 
    -376.1826,     -3.160672, , 
    -290.5539,     -2.625495, , 
    -197.7709,     -2.280259, , 
    -100.1181,     -2.104282, , 
-1.033947e-12,     -2.049486, , 
     100.1181,     -2.104282, , 
     197.7709,     -2.280259, , 
     290.5539,     -2.625495, , 
     376.1826,     -3.160672, , 
     452.5483,     -3.793932, , 
     517.7709,     -4.559049, , 
     570.2442,     -5.488132, , 
     608.6762,     -7.437903, , 
     632.1205,     -9.761146, , 

