,Q=42.00 - Alpha=-2.50, , 
    -632.1205,    -0.7738545, , 
    -608.6762,    -0.6108703, , 
    -570.2442,    -0.4757367, , 
    -517.7709,    -0.3760831, , 
    -452.5483,    -0.3046366, , 
    -376.1826,    -0.2545371, , 
    -290.5539,    -0.2204594, , 
    -197.7709,    -0.1985836, , 
    -100.1181,    -0.1864004, , 
-1.033947e-12,    -0.1824907, , 
     100.1181,    -0.1864004, , 
     197.7709,    -0.1985836, , 
     290.5539,    -0.2204594, , 
     376.1826,    -0.2545371, , 
     452.5483,    -0.3046366, , 
     517.7709,    -0.3760831, , 
     570.2442,    -0.4757367, , 
     608.6762,    -0.6108703, , 
     632.1205,    -0.7738545, , 

