,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -2.720803, , 
    -608.6762,     -2.149417, , 
    -570.2442,     -1.673763, , 
    -517.7709,     -1.320981, , 
    -452.5483,     -1.069006, , 
    -376.1826,    -0.8915766, , 
    -290.5539,    -0.7710849, , 
    -197.7709,    -0.6944119, , 
    -100.1181,    -0.6519167, , 
-1.033947e-12,    -0.6383084, , 
     100.1181,    -0.6519167, , 
     197.7709,    -0.6944119, , 
     290.5539,    -0.7710849, , 
     376.1826,    -0.8915766, , 
     452.5483,     -1.069006, , 
     517.7709,     -1.320981, , 
     570.2442,     -1.673763, , 
     608.6762,     -2.149417, , 
     632.1205,     -2.720803, , 

