,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -4.682737, , 
    -608.6762,     -3.688629, , 
    -570.2442,     -2.859677, , 
    -517.7709,     -2.262636, , 
    -452.5483,     -1.824333, , 
    -376.1826,     -1.529391, , 
    -290.5539,     -1.276547, , 
    -197.7709,     -1.121712, , 
    -100.1181,     -1.039697, , 
-1.033947e-12,      -1.01406, , 
     100.1181,     -1.039697, , 
     197.7709,     -1.121712, , 
     290.5539,     -1.276547, , 
     376.1826,     -1.529391, , 
     452.5483,     -1.824333, , 
     517.7709,     -2.262636, , 
     570.2442,     -2.859677, , 
     608.6762,     -3.688629, , 
     632.1205,     -4.682737, , 

