,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -7.441482, , 
    -608.6762,     -5.892498, , 
    -570.2442,     -4.343165, , 
    -517.7709,     -3.078477, , 
    -452.5483,     -2.564147, , 
    -376.1826,     -2.261312, , 
    -290.5539,     -2.055979, , 
    -197.7709,     -1.858415, , 
    -100.1181,     -1.727991, , 
-1.033947e-12,     -1.687278, , 
     100.1181,     -1.727991, , 
     197.7709,     -1.858415, , 
     290.5539,     -2.055979, , 
     376.1826,     -2.261312, , 
     452.5483,     -2.564147, , 
     517.7709,     -3.078477, , 
     570.2442,     -4.343165, , 
     608.6762,     -5.892498, , 
     632.1205,     -7.441482, , 

