,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -8.982704, , 
    -608.6762,     -7.039909, , 
    -570.2442,     -4.874259, , 
    -517.7709,     -4.129643, , 
    -452.5483,     -3.369619, , 
    -376.1826,     -2.883842, , 
    -290.5539,     -2.476144, , 
    -197.7709,     -2.213395, , 
    -100.1181,     -2.069479, , 
-1.033947e-12,     -2.024089, , 
     100.1181,     -2.069479, , 
     197.7709,     -2.213395, , 
     290.5539,     -2.476144, , 
     376.1826,     -2.883842, , 
     452.5483,     -3.369619, , 
     517.7709,     -4.129643, , 
     570.2442,     -4.874259, , 
     608.6762,     -7.039909, , 
     632.1205,     -8.982704, , 

