,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -13.97387, , 
    -608.6762,     -10.69611, , 
    -570.2442,     -9.188872, , 
    -517.7709,     -7.698626, , 
    -452.5483,     -7.643193, , 
    -376.1826,      4.225058, , 
    -290.5539,      -7.70611, , 
    -197.7709,      4.226463, , 
    -100.1181,     -7.367907, , 
-1.033947e-12,       4.26568, , 
     100.1181,     -7.367907, , 
     197.7709,      4.226463, , 
     290.5539,      -7.70611, , 
     376.1826,      4.225058, , 
     452.5483,     -7.643193, , 
     517.7709,     -7.698626, , 
     570.2442,     -9.188872, , 
     608.6762,     -10.69611, , 
     632.1205,     -13.97387, , 

