,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -3.112496, , 
    -608.6762,     -2.457519, , 
    -570.2442,     -1.911333, , 
    -517.7709,     -1.507083, , 
    -452.5483,     -1.213344, , 
    -376.1826,     -1.009773, , 
    -290.5539,    -0.8777757, , 
    -197.7709,    -0.7931738, , 
    -100.1181,    -0.7460263, , 
-1.033947e-12,     -0.730885, , 
     100.1181,    -0.7460263, , 
     197.7709,    -0.7931738, , 
     290.5539,    -0.8777757, , 
     376.1826,     -1.009773, , 
     452.5483,     -1.213344, , 
     517.7709,     -1.507083, , 
     570.2442,     -1.911333, , 
     608.6762,     -2.457519, , 
     632.1205,     -3.112496, , 

