,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -12.64911, , 
    -608.6762,     -9.421726, , 
    -570.2442,     -7.916263, , 
    -517.7709,      -6.55216, , 
    -452.5483,     -5.270463, , 
    -376.1826,     -4.353142, , 
    -290.5539,     -5.530133, , 
    -197.7709,      4.821975, , 
    -100.1181,     -6.557604, , 
-1.033947e-12,      4.390522, , 
     100.1181,     -6.557604, , 
     197.7709,      4.821975, , 
     290.5539,     -5.530133, , 
     376.1826,     -4.353142, , 
     452.5483,     -5.270463, , 
     517.7709,      -6.55216, , 
     570.2442,     -7.916263, , 
     608.6762,     -9.421726, , 
     632.1205,     -12.64911, , 

