,Q=42.00 - Alpha=-2.50, , 
    -632.1205,    -0.3864498, , 
    -608.6762,     -0.304507, , 
    -570.2442,     -0.236405, , 
    -517.7709,    -0.1859692, , 
    -452.5483,    -0.1497004, , 
    -376.1826,    -0.1242067, , 
    -290.5539,    -0.1068494, , 
    -197.7709,   -0.09571322, , 
    -100.1181,   -0.08951917, , 
-1.033947e-12,   -0.08753334, , 
     100.1181,   -0.08951917, , 
     197.7709,   -0.09571322, , 
     290.5539,    -0.1068494, , 
     376.1826,    -0.1242067, , 
     452.5483,    -0.1497004, , 
     517.7709,    -0.1859692, , 
     570.2442,     -0.236405, , 
     608.6762,     -0.304507, , 
     632.1205,    -0.3864498, , 

