,Q=42.00 - Alpha=-2.50, , 
    -632.1205,  0.0009899603, , 
    -608.6762,     0.0019228, , 
    -570.2442,   0.002990628, , 
    -517.7709,   0.004087046, , 
    -452.5483,   0.005115724, , 
    -376.1826,   0.005973706, , 
    -290.5539,   0.006598367, , 
    -197.7709,   0.006990925, , 
    -100.1181,    0.00719523, , 
-1.033947e-12,   0.007257167, , 
     100.1181,    0.00719523, , 
     197.7709,   0.006990925, , 
     290.5539,   0.006598367, , 
     376.1826,   0.005973706, , 
     452.5483,   0.005115724, , 
     517.7709,   0.004087046, , 
     570.2442,   0.002990628, , 
     608.6762,     0.0019228, , 
     632.1205,  0.0009899603, , 

