,Q=42.00 - Alpha=-2.50, , 
    -632.1205,       -10.553, , 
    -608.6762,     -7.734484, , 
    -570.2442,     -6.203284, , 
    -517.7709,     -5.088969, , 
    -452.5483,     -4.153931, , 
    -376.1826,     -3.262502, , 
    -290.5539,     -2.704163, , 
    -197.7709,     -2.347452, , 
    -100.1181,     -2.139774, , 
-1.033947e-12,     -2.077693, , 
     100.1181,     -2.139774, , 
     197.7709,     -2.347452, , 
     290.5539,     -2.704163, , 
     376.1826,     -3.262502, , 
     452.5483,     -4.153931, , 
     517.7709,     -5.088969, , 
     570.2442,     -6.203284, , 
     608.6762,     -7.734484, , 
     632.1205,       -10.553, , 

