,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -1.161312, , 
    -608.6762,    -0.9175086, , 
    -570.2442,     -0.715639, , 
    -517.7709,    -0.5667798, , 
    -452.5483,    -0.4598391, , 
    -376.1826,    -0.3845557, , 
    -290.5539,    -0.3334737, , 
    -197.7709,    -0.3007229, , 
    -100.1181,    -0.2824935, , 
-1.033947e-12,     -0.276644, , 
     100.1181,    -0.2824935, , 
     197.7709,    -0.3007229, , 
     290.5539,    -0.3334737, , 
     376.1826,    -0.3845557, , 
     452.5483,    -0.4598391, , 
     517.7709,    -0.5667798, , 
     570.2442,     -0.715639, , 
     608.6762,    -0.9175086, , 
     632.1205,     -1.161312, , 

