,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -11.36194, , 
    -608.6762,     -8.297206, , 
    -570.2442,     -6.894495, , 
    -517.7709,     -5.597625, , 
    -452.5483,     -4.383617, , 
    -376.1826,     -3.497513, , 
    -290.5539,     -2.784571, , 
    -197.7709,     -2.258005, , 
    -100.1181,     -2.032867, , 
-1.033947e-12,     -1.970632, , 
     100.1181,     -2.032867, , 
     197.7709,     -2.258005, , 
     290.5539,     -2.784571, , 
     376.1826,     -3.497513, , 
     452.5483,     -4.383617, , 
     517.7709,     -5.597625, , 
     570.2442,     -6.894495, , 
     608.6762,     -8.297206, , 
     632.1205,     -11.36194, , 

