,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.7740696, , 
    -608.6762,     0.6112235, , 
    -570.2442,     0.4762438, , 
    -517.7709,      0.376944, , 
    -452.5483,     0.3063849, , 
    -376.1826,     0.2580112, , 
    -290.5539,     0.2263948, , 
    -197.7709,     0.2070457, , 
    -100.1181,      0.196664, , 
-1.033947e-12,     0.1933904, , 
     100.1181,      0.196664, , 
     197.7709,     0.2070457, , 
     290.5539,     0.2263948, , 
     376.1826,     0.2580112, , 
     452.5483,     0.3063849, , 
     517.7709,      0.376944, , 
     570.2442,     0.4762438, , 
     608.6762,     0.6112235, , 
     632.1205,     0.7740696, , 

