,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     -5.485031, , 
    -608.6762,     -4.330502, , 
    -570.2442,     -3.397299, , 
    -517.7709,     -2.699938, , 
    -452.5483,     -2.125591, , 
    -376.1826,     -1.620591, , 
    -290.5539,     -1.347738, , 
    -197.7709,     -1.197875, , 
    -100.1181,     -1.115647, , 
-1.033947e-12,     -1.089427, , 
     100.1181,     -1.115647, , 
     197.7709,     -1.197875, , 
     290.5539,     -1.347738, , 
     376.1826,     -1.620591, , 
     452.5483,     -2.125591, , 
     517.7709,     -2.699938, , 
     570.2442,     -3.397299, , 
     608.6762,     -4.330502, , 
     632.1205,     -5.485031, , 

