,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      1.938645, , 
    -608.6762,      1.533764, , 
    -570.2442,      1.196001, , 
    -517.7709,     0.9468673, , 
    -452.5483,     0.7670616, , 
    -376.1826,     0.6417668, , 
    -290.5539,     0.5568309, , 
    -197.7709,      0.502392, , 
    -100.1181,     0.4716271, , 
-1.033947e-12,     0.4617669, , 
     100.1181,      0.471625, , 
     197.7709,     0.5023882, , 
     290.5539,     0.5568262, , 
     376.1826,     0.6417618, , 
     452.5483,     0.7670571, , 
     517.7709,     0.9468636, , 
     570.2442,      1.195999, , 
     608.6762,      1.533763, , 
     632.1205,      1.938644, , 

