,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.634516, , 
    -608.6762,     0.6078739, , 
    -570.2442,     0.5859988, , 
    -517.7709,     0.5647113, , 
    -452.5483,     0.5504959, , 
    -376.1826,     0.5432377, , 
    -290.5539,     0.5381172, , 
    -197.7709,     0.5322125, , 
    -100.1181,     0.5289655, , 
-1.033947e-12,     0.5279269, , 
     100.1181,     0.5289655, , 
     197.7709,     0.5322125, , 
     290.5539,     0.5381172, , 
     376.1826,     0.5432377, , 
     452.5483,     0.5504959, , 
     517.7709,     0.5647113, , 
     570.2442,     0.5859988, , 
     608.6762,     0.6078739, , 
     632.1205,      0.634516, , 

