,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.551224, , 
    -608.6762,    0.08279393, , 
    -570.2442,    0.02544456, , 
    -517.7709,    0.02014575, , 
    -452.5483,    0.01751439, , 
    -376.1826,    0.01443941, , 
    -290.5539,    0.01256801, , 
    -197.7709,     0.0122626, , 
    -100.1181,    0.01221535, , 
-1.033947e-12,    0.01219932, , 
     100.1181,    0.01221535, , 
     197.7709,     0.0122626, , 
     290.5539,    0.01256801, , 
     376.1826,    0.01443941, , 
     452.5483,    0.01751439, , 
     517.7709,    0.02014575, , 
     570.2442,    0.02544456, , 
     608.6762,    0.08279393, , 
     632.1205,      0.551224, , 

