,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5490226, , 
    -608.6762,    0.07027657, , 
    -570.2442,    0.02222489, , 
    -517.7709,    0.01977376, , 
    -452.5483,    0.01681315, , 
    -376.1826,    0.01343871, , 
    -290.5539,    0.01231813, , 
    -197.7709,    0.01222793, , 
    -100.1181,    0.01622478, , 
-1.033947e-12,    0.01233491, , 
     100.1181,    0.01622478, , 
     197.7709,    0.01222793, , 
     290.5539,    0.01231813, , 
     376.1826,    0.01343871, , 
     452.5483,    0.01681315, , 
     517.7709,    0.01977376, , 
     570.2442,    0.02222489, , 
     608.6762,    0.07027657, , 
     632.1205,     0.5490226, , 

