,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6169885, , 
    -608.6762,     0.5630616, , 
    -570.2442,     0.5184947, , 
    -517.7709,     0.4442508, , 
    -452.5483,     0.2355748, , 
    -376.1826,     0.1455257, , 
    -290.5539,     0.1095333, , 
    -197.7709,    0.09734913, , 
    -100.1181,    0.09038822, , 
-1.033947e-12,    0.08815454, , 
     100.1181,    0.09038822, , 
     197.7709,    0.09734913, , 
     290.5539,     0.1095333, , 
     376.1826,     0.1455257, , 
     452.5483,     0.2355748, , 
     517.7709,     0.4442508, , 
     570.2442,     0.5184947, , 
     608.6762,     0.5630616, , 
     632.1205,     0.6169885, , 

