,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6376784, , 
    -608.6762,      0.621415, , 
    -570.2442,     0.6043349, , 
    -517.7709,     0.5917278, , 
    -452.5483,     0.5834673, , 
    -376.1826,     0.5755478, , 
    -290.5539,     0.5692609, , 
    -197.7709,     0.5652603, , 
    -100.1181,      0.563043, , 
-1.033947e-12,      0.562333, , 
     100.1181,      0.563043, , 
     197.7709,     0.5652603, , 
     290.5539,     0.5692609, , 
     376.1826,     0.5755478, , 
     452.5483,     0.5834673, , 
     517.7709,     0.5917278, , 
     570.2442,     0.6043349, , 
     608.6762,      0.621415, , 
     632.1205,     0.6376784, , 

