,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5355377, , 
    -608.6762,    0.04874255, , 
    -570.2442,    0.02143371, , 
    -517.7709,    0.01810722, , 
    -452.5483,    0.01803422, , 
    -376.1826,    0.01177466, , 
    -290.5539,    0.01819207, , 
    -197.7709,    0.01178215, , 
    -100.1181,    0.01746623, , 
-1.033947e-12,    0.01175753, , 
     100.1181,    0.01746623, , 
     197.7709,    0.01178215, , 
     290.5539,    0.01819207, , 
     376.1826,    0.01177466, , 
     452.5483,    0.01803422, , 
     517.7709,    0.01810722, , 
     570.2442,    0.02143371, , 
     608.6762,    0.04874255, , 
     632.1205,     0.5355377, , 

