,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6392636, , 
    -608.6762,      0.626959, , 
    -570.2442,     0.6144765, , 
    -517.7709,     0.6027808, , 
    -452.5483,     0.5949112, , 
    -376.1826,     0.5899492, , 
    -290.5539,     0.5866002, , 
    -197.7709,     0.5844604, , 
    -100.1181,     0.5832717, , 
-1.033947e-12,     0.5828906, , 
     100.1181,     0.5832717, , 
     197.7709,     0.5844604, , 
     290.5539,     0.5866002, , 
     376.1826,     0.5899492, , 
     452.5483,     0.5949112, , 
     517.7709,     0.6027808, , 
     570.2442,     0.6144765, , 
     608.6762,      0.626959, , 
     632.1205,     0.6392636, , 

