,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5924703, , 
    -608.6762,     0.5079398, , 
    -570.2442,     0.1110226, , 
    -517.7709,    0.04705166, , 
    -452.5483,    0.03408127, , 
    -376.1826,     0.0233288, , 
    -290.5539,    0.02181584, , 
    -197.7709,    0.02149002, , 
    -100.1181,    0.02126481, , 
-1.033947e-12,    0.02117689, , 
     100.1181,    0.02126481, , 
     197.7709,    0.02149002, , 
     290.5539,    0.02181584, , 
     376.1826,     0.0233288, , 
     452.5483,    0.03408127, , 
     517.7709,    0.04705166, , 
     570.2442,     0.1110226, , 
     608.6762,     0.5079398, , 
     632.1205,     0.5924703, , 

