,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6575443, , 
    -608.6762,     0.6564082, , 
    -570.2442,     0.6582605, , 
    -517.7709,     0.6596662, , 
    -452.5483,     0.6606633, , 
    -376.1826,     0.6613565, , 
    -290.5539,     0.6618262, , 
    -197.7709,     0.6621279, , 
    -100.1181,     0.6622965, , 
-1.033947e-12,     0.6623508, , 
     100.1181,     0.6622965, , 
     197.7709,     0.6621279, , 
     290.5539,     0.6618262, , 
     376.1826,     0.6613565, , 
     452.5483,     0.6606633, , 
     517.7709,     0.6596662, , 
     570.2442,     0.6582605, , 
     608.6762,     0.6564082, , 
     632.1205,     0.6575443, , 

