,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5728455, , 
    -608.6762,     0.3280215, , 
    -570.2442,    0.04478935, , 
    -517.7709,    0.02337666, , 
    -452.5483,    0.02098711, , 
    -376.1826,    0.01977844, , 
    -290.5539,    0.01878444, , 
    -197.7709,    0.01807252, , 
    -100.1181,    0.01768862, , 
-1.033947e-12,    0.01756908, , 
     100.1181,    0.01768862, , 
     197.7709,    0.01807252, , 
     290.5539,    0.01878444, , 
     376.1826,    0.01977844, , 
     452.5483,    0.02098711, , 
     517.7709,    0.02337666, , 
     570.2442,    0.04478935, , 
     608.6762,     0.3280215, , 
     632.1205,     0.5728455, , 

