,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.636096, , 
    -608.6762,     0.6154368, , 
    -570.2442,     0.5946898, , 
    -517.7709,     0.5814372, , 
    -452.5483,     0.5662482, , 
    -376.1826,     0.5556264, , 
    -290.5539,     0.5510727, , 
    -197.7709,     0.5482737, , 
    -100.1181,     0.5467139, , 
-1.033947e-12,     0.5462129, , 
     100.1181,     0.5467139, , 
     197.7709,     0.5482737, , 
     290.5539,     0.5510727, , 
     376.1826,     0.5556264, , 
     452.5483,     0.5662482, , 
     517.7709,     0.5814372, , 
     570.2442,     0.5946898, , 
     608.6762,     0.6154368, , 
     632.1205,      0.636096, , 

