,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6027243, , 
    -608.6762,     0.5416621, , 
    -570.2442,      0.422059, , 
    -517.7709,     0.1114827, , 
    -452.5483,    0.06431181, , 
    -376.1826,    0.04731354, , 
    -290.5539,    0.04101418, , 
    -197.7709,    0.03760311, , 
    -100.1181,    0.03563055, , 
-1.033947e-12,    0.03498234, , 
     100.1181,    0.03563055, , 
     197.7709,    0.03760311, , 
     290.5539,    0.04101418, , 
     376.1826,    0.04731354, , 
     452.5483,    0.06431181, , 
     517.7709,     0.1114827, , 
     570.2442,      0.422059, , 
     608.6762,     0.5416621, , 
     632.1205,     0.6027243, , 

