,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5538485, , 
    -608.6762,    0.09833265, , 
    -570.2442,    0.02981137, , 
    -517.7709,    0.02060303, , 
    -452.5483,    0.01829799, , 
    -376.1826,    0.01594687, , 
    -290.5539,    0.01368719, , 
    -197.7709,    0.01277783, , 
    -100.1181,    0.01238763, , 
-1.033947e-12,     0.0123234, , 
     100.1181,    0.01238763, , 
     197.7709,    0.01277783, , 
     290.5539,    0.01368719, , 
     376.1826,    0.01594687, , 
     452.5483,    0.01829799, , 
     517.7709,    0.02060303, , 
     570.2442,    0.02981137, , 
     608.6762,    0.09833265, , 
     632.1205,     0.5538485, , 

