,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6644891, , 
    -608.6762,     0.6674362, , 
    -570.2442,     0.6725408, , 
    -517.7709,     0.6763486, , 
    -452.5483,     0.6787727, , 
    -376.1826,     0.6799549, , 
    -290.5539,     0.6807559, , 
    -197.7709,     0.6812699, , 
    -100.1181,     0.6815565, , 
-1.033947e-12,     0.6816486, , 
     100.1181,     0.6815565, , 
     197.7709,     0.6812699, , 
     290.5539,     0.6807559, , 
     376.1826,     0.6799549, , 
     452.5483,     0.6787727, , 
     517.7709,     0.6763486, , 
     570.2442,     0.6725408, , 
     608.6762,     0.6674362, , 
     632.1205,     0.6644891, , 

