,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6214023, , 
    -608.6762,     0.5724466, , 
    -570.2442,     0.5325645, , 
    -517.7709,     0.4855294, , 
    -452.5483,     0.3765454, , 
    -376.1826,     0.2375038, , 
    -290.5539,     0.1769871, , 
    -197.7709,     0.1511472, , 
    -100.1181,     0.1369691, , 
-1.033947e-12,     0.1324481, , 
     100.1181,     0.1369691, , 
     197.7709,     0.1511472, , 
     290.5539,     0.1769871, , 
     376.1826,     0.2375038, , 
     452.5483,     0.3765454, , 
     517.7709,     0.4855294, , 
     570.2442,     0.5325645, , 
     608.6762,     0.5724466, , 
     632.1205,     0.6214023, , 

