,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6291824, , 
    -608.6762,     0.5936246, , 
    -570.2442,     0.5609148, , 
    -517.7709,     0.5408269, , 
    -452.5483,     0.5189864, , 
    -376.1826,     0.5001132, , 
    -290.5539,     0.4850942, , 
    -197.7709,     0.4755735, , 
    -100.1181,     0.4703232, , 
-1.033947e-12,     0.4649182, , 
     100.1181,     0.4703232, , 
     197.7709,     0.4755735, , 
     290.5539,     0.4850942, , 
     376.1826,     0.5001132, , 
     452.5483,     0.5189864, , 
     517.7709,     0.5408269, , 
     570.2442,     0.5609148, , 
     608.6762,     0.5936246, , 
     632.1205,     0.6291824, , 

