,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6318566, , 
    -608.6762,     0.6003584, , 
    -570.2442,     0.5748949, , 
    -517.7709,     0.5507778, , 
    -452.5483,     0.5392646, , 
    -376.1826,      0.524753, , 
    -290.5539,      0.514658, , 
    -197.7709,     0.5078599, , 
    -100.1181,     0.5030074, , 
-1.033947e-12,     0.5014567, , 
     100.1181,     0.5030074, , 
     197.7709,     0.5078599, , 
     290.5539,      0.514658, , 
     376.1826,      0.524753, , 
     452.5483,     0.5392646, , 
     517.7709,     0.5507778, , 
     570.2442,     0.5748949, , 
     608.6762,     0.6003584, , 
     632.1205,     0.6318566, , 

