,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5789232, , 
    -608.6762,     0.4068596, , 
    -570.2442,    0.05379483, , 
    -517.7709,    0.02961995, , 
    -452.5483,    0.02154982, , 
    -376.1826,    0.02042978, , 
    -290.5539,    0.01965445, , 
    -197.7709,    0.01904456, , 
    -100.1181,    0.01869071, , 
-1.033947e-12,    0.01858425, , 
     100.1181,    0.01869071, , 
     197.7709,    0.01904456, , 
     290.5539,    0.01965445, , 
     376.1826,    0.02042978, , 
     452.5483,    0.02154982, , 
     517.7709,    0.02961995, , 
     570.2442,    0.05379483, , 
     608.6762,     0.4068596, , 
     632.1205,     0.5789232, , 

