,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6429693, , 
    -608.6762,     0.6351891, , 
    -570.2442,     0.6302279, , 
    -517.7709,     0.6244264, , 
    -452.5483,     0.6202849, , 
    -376.1826,     0.6173928, , 
    -290.5539,     0.6148775, , 
    -197.7709,     0.6131769, , 
    -100.1181,      0.612232, , 
-1.033947e-12,     0.6119289, , 
     100.1181,      0.612232, , 
     197.7709,     0.6131769, , 
     290.5539,     0.6148775, , 
     376.1826,     0.6173928, , 
     452.5483,     0.6202849, , 
     517.7709,     0.6244264, , 
     570.2442,     0.6302279, , 
     608.6762,     0.6351891, , 
     632.1205,     0.6429693, , 

