,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5475433, , 
    -608.6762,    0.06675094, , 
    -570.2442,    0.02210099, , 
    -517.7709,    0.01957583, , 
    -452.5483,     0.0167703, , 
    -376.1826,    0.01380525, , 
    -290.5539,    0.01752686, , 
    -197.7709,    0.01236584, , 
    -100.1181,    0.01958599, , 
-1.033947e-12,    0.01226678, , 
     100.1181,    0.01958599, , 
     197.7709,    0.01236584, , 
     290.5539,    0.01752686, , 
     376.1826,    0.01380525, , 
     452.5483,     0.0167703, , 
     517.7709,    0.01957583, , 
     570.2442,    0.02210099, , 
     608.6762,    0.06675094, , 
     632.1205,     0.5475433, , 

