,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.541599, , 
    -608.6762,    0.05518647, , 
    -570.2442,    0.02171275, , 
    -517.7709,    0.01891996, , 
    -452.5483,    0.01881724, , 
    -376.1826,    0.01215648, , 
    -290.5539,    0.01893383, , 
    -197.7709,    0.01215559, , 
    -100.1181,    0.01826372, , 
-1.033947e-12,    0.01213073, , 
     100.1181,    0.01826372, , 
     197.7709,    0.01215559, , 
     290.5539,    0.01893383, , 
     376.1826,    0.01215648, , 
     452.5483,    0.01881724, , 
     517.7709,    0.01891996, , 
     570.2442,    0.02171275, , 
     608.6762,    0.05518647, , 
     632.1205,      0.541599, , 

