,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5565843, , 
    -608.6762,     0.1147663, , 
    -570.2442,    0.03368361, , 
    -517.7709,    0.02108576, , 
    -452.5483,    0.01907922, , 
    -376.1826,     0.0170122, , 
    -290.5539,    0.01509618, , 
    -197.7709,    0.01380113, , 
    -100.1181,    0.01333396, , 
-1.033947e-12,    0.01321478, , 
     100.1181,    0.01333396, , 
     197.7709,    0.01380113, , 
     290.5539,    0.01509618, , 
     376.1826,     0.0170122, , 
     452.5483,    0.01907922, , 
     517.7709,    0.02108576, , 
     570.2442,    0.03368361, , 
     608.6762,     0.1147663, , 
     632.1205,     0.5565843, , 

