,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6540767, , 
    -608.6762,     0.6507741, , 
    -570.2442,      0.650691, , 
    -517.7709,     0.6506665, , 
    -452.5483,     0.6506435, , 
    -376.1826,     0.6506243, , 
    -290.5539,     0.6506104, , 
    -197.7709,     0.6506016, , 
    -100.1181,      0.650597, , 
-1.033947e-12,     0.6505956, , 
     100.1181,      0.650597, , 
     197.7709,     0.6506016, , 
     290.5539,     0.6506104, , 
     376.1826,     0.6506243, , 
     452.5483,     0.6506435, , 
     517.7709,     0.6506665, , 
     570.2442,      0.650691, , 
     608.6762,     0.6507741, , 
     632.1205,     0.6540767, , 

