,Q=42.00 - Alpha=-2.50, , 
    -632.1205,      0.624103, , 
    -608.6762,     0.5816087, , 
    -570.2442,      0.542791, , 
    -517.7709,     0.5072007, , 
    -452.5483,     0.4710786, , 
    -376.1826,     0.3731766, , 
    -290.5539,     0.2955163, , 
    -197.7709,     0.2440617, , 
    -100.1181,     0.2180274, , 
-1.033947e-12,     0.2099257, , 
     100.1181,     0.2180274, , 
     197.7709,     0.2440617, , 
     290.5539,     0.2955163, , 
     376.1826,     0.3731766, , 
     452.5483,     0.4710786, , 
     517.7709,     0.5072007, , 
     570.2442,      0.542791, , 
     608.6762,     0.5816087, , 
     632.1205,      0.624103, , 

