,Q=42.00 - Alpha=-2.50, , 
    -632.1205,       0.64574, , 
    -608.6762,     0.6382912, , 
    -570.2442,     0.6349871, , 
    -517.7709,     0.6325827, , 
    -452.5483,      0.630338, , 
    -376.1826,      0.628152, , 
    -290.5539,     0.6266688, , 
    -197.7709,     0.6257178, , 
    -100.1181,     0.6251885, , 
-1.033947e-12,     0.6250187, , 
     100.1181,     0.6251885, , 
     197.7709,     0.6257178, , 
     290.5539,     0.6266688, , 
     376.1826,      0.628152, , 
     452.5483,      0.630338, , 
     517.7709,     0.6325827, , 
     570.2442,     0.6349871, , 
     608.6762,     0.6382912, , 
     632.1205,       0.64574, , 

