,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.5854927, , 
    -608.6762,     0.4729823, , 
    -570.2442,    0.06428086, , 
    -517.7709,    0.03527573, , 
    -452.5483,    0.02202135, , 
    -376.1826,    0.02116302, , 
    -290.5539,    0.02036749, , 
    -197.7709,    0.01987688, , 
    -100.1181,    0.01960817, , 
-1.033947e-12,    0.01952341, , 
     100.1181,    0.01960817, , 
     197.7709,    0.01987688, , 
     290.5539,    0.02036749, , 
     376.1826,    0.02116302, , 
     452.5483,    0.02202135, , 
     517.7709,    0.03527573, , 
     570.2442,    0.06428086, , 
     608.6762,     0.4729823, , 
     632.1205,     0.5854927, , 

