,Q=42.00 - Alpha=-2.50, , 
    -632.1205,     0.6408585, , 
    -608.6762,     0.6321018, , 
    -570.2442,     0.6226598, , 
    -517.7709,      0.614894, , 
    -452.5483,     0.6079164, , 
    -376.1826,     0.6030572, , 
    -290.5539,     0.5997674, , 
    -197.7709,     0.5976622, , 
    -100.1181,     0.5966478, , 
-1.033947e-12,     0.5963264, , 
     100.1181,     0.5966478, , 
     197.7709,     0.5976622, , 
     290.5539,     0.5997674, , 
     376.1826,     0.6030572, , 
     452.5483,     0.6079164, , 
     517.7709,      0.614894, , 
     570.2442,     0.6226598, , 
     608.6762,     0.6321018, , 
     632.1205,     0.6408585, , 

